발화문,상황
문자 받았지. 불합격 문자. 아 진짜 내가 가고싶었던 회산데.,sad
알겠어. 우리 집 해피랑 산책도 많이 할게.,sad
시간이 흐르면 괜찮아지겠지. 하지만 지금은 가슴이 찢어져.,sad
아니 진짜 왜 이러는 거야? 아 다같이 일을 많이 하는 것도 아니고 나한테만 그래.,anger
"그러게 말이야 대체 누가 그런 건지 물이라도 마셔야겠다.	",disgust
약속있어 나왔는데 친구가 아직도 오질 않고있어.,anger
아 진짜 너무 화가 나. 그런 무책임한 사람들 완전 극혐이야!,disgust
3년을 만나면서 한번도 싸운 적이 없었어. 나한테 정말 잘해줬거든.,sad
이 회사에서 다 과장님 측근들이야. 잘 보이려고 노력하는 사람들이지.,anger
나 면접 또 떨어졌어. ,sad
아니. 이게 이번 시즌 마지막 면접이었어.,sad
처음엔 권태기랬어. 시간을 갖자 그래서 나는 바보같이 기다렸는데 새로운 사람이 생겼던 것 같아.,sad
"왜 그러겠어 계약직 여직원이 나밖에 없으니까 만만하니까 이러는 거지.	",anger
아 지금 옮기면 경력인정도 안되는데 누구 좋으라고 그래.,anger
"벌써 누가 얘기 하지 않았을까? 또 떠올리기 싫은데.	",disgust
이제 곧 두 달이 다 돼 가. 정말 잊혀지지가 않아.,sad
지금처럼 내 이야기만 들어줘도 내가 많은 힘이 날 것 같애.,anger
집에 있기 답답해서 그냥 나와서 무작정 걷고 있어.,sad
"말씀 못드렸지 맨날 떨어졌단 말을 어떻게 해.	",sad
그냥 얼굴 알고 지내던 사이였는데 남자친구가 만나보자고 해서 사귀게 됐지.,sad
나 요즘에 허리가 너무 아픈 것 같아.,sad
"이런 일이 자주 있었어. 나만 참고 있었지, 바보같이.",anger
나 회사 면접에서 또 떨어졌어.,sad
나 매일매일 우울한 기분이 들어.,sad
아니. 입맛도 없어. 밥 먹기 싫더라.,sad
3년을 사귀면서 싸운 적이 한 번도 없었어. 그래서 나는 우리가 되게 잘 맞는다고 생각했었거든.,sad
"요새 일이 많아서 좀 오래 앉아 있었더니.	",sad
그냥 속이 답답해서 무작정 걷고 있어.,sad
부모님 기대가 너무 크셔서 아직 말씀 못드렸어.,sad
"난 잘하는게 하나도 없나 봐.	",sad
그게 지지난달이니까 벌써 두 달이 넘었네.,sad
어제 저녁에 진짜 무서웠어!,fear
바빠서 병원도 못 가봤어.,sad
이번 회사가 공채로 보는 마지막 시험이었어. 다른 회사가 없어.,sad
그냥 잠 들기도 힘들고 일어날 때 몸이 천근만근이고 회사 가서는 일이 손에 안 잡혀.,sad
"앞날이 걱정되니까 입맛도 하나도 없어.	",sad
밤 새워 준비한 기획안을 또 퇴짜 맞았어.,sad
룸메이트랑 너무 자주 싸우게 돼.,anger
갑자기 지진이 나가지고 나는 괜찮은데 친구가 발목 좀 접질렸어.,fear
그건 나도 아는데 친구가 치료도 엄청 아프다 하더라고.,sad
무기력증이 맞는 것 같애. 한동안 회사가 정말 바빴었잖아. 지금 한가해지니까 내 마음이 마음대로 안 돼.,sad
선배가 커피 사준다 해서 잠깐 나갔다 왔어.,sad
얘가 청소를 안 해. 게다가 음식물 쓰레기 같은 거 막 섞어버리고 아무데나 놓는데 더러워 죽겠어 진짜.,anger
나 망했다. 이제 어떻게 버티냐!,sad
퇴근한 지 얼마나 됐다고 회사에서 또 연락이 왔어.,anger
해피가 어제 세상을 떠났어.,sad
아무것도 안하는 시간은 나를 더 힘들게 해. 취미를 한 번 가져볼게.,sad
"난 잘하는게 하나도 없나 봐.	",sad
그렇지 않아도 이번 일 마무리 짓고 좀 쉬려고 생각 중이었어.,sad
지난 달에 계속 같이 살 거면은 고치라고 분명히 얘기했었거든? 아 달라진 게 없어.,anger
생활비가 2만원밖에 안남았어.,sad
퇴근한 지 얼마나 됐다고 회사에서 또 전화가 왔어.,anger
"난 잘하는게 하나도 없어.	",sad
"요즘 매일 우울한 기분이 들어.	",sad
알았어. 해피랑 산책하는 시간 좀 가져볼게.,sad
"알아 내 잘못은 아니지만 내가 좀 능력이 없는 건 사실이잖아.	",sad
고등학교 같이 다녔어. 그때는 위생관념이 이렇게 개판일 줄은 생각도 못 했지.,anger
진짜 딱 2만 원밖에 없어. 이제 어떡해?,sad
덥고 짜증나 죽겠는데 얘는 연락도 안 돼.,anger
밤에 자는 것도 힘들고 아침에 일어나는 건 더 힘들어. 그리고 회사에선 일이 손에 안잡혀.,sad
밤새워 준비한 기획안을 또 퇴짜 맞았어.,sad
"어으, 기숙사 화장실에 누가 잔뜩 토해놨어!",disgust
먹을 거 없어. 반찬도 먹던 거 조금밖에 안남았는데.,sad
맞아. 무기력증인 것 같아. 회사가 한동안 바빴었거든. 그러고 한가해지니까 내 몸이 이모양이 되었어.,sad
곧 점심시간이야. 그때 나가서 쉬면 돼.,sad
나 면접 또 떨어졌어.,sad
아직도 그대로 있어. 어떤 놈인지 잡고 싶어.,disgust
"변기랑 세면대랑! 아, 진짜 누가 그런거야!",disgust
가족들도 요새 다들 너무 힘들어서 말을 못 꺼내겠는데.,sad
수정하라는 부분 수정해서 빨리 끝내볼게. 걱정하지 마.,sad
어우 진짜 화장실 들어가자마자 비명질렀어.,disgust
요새 매일 우울한 기분이 들어.,sad
"동기들 있는데, 그 아이들은 내 심정을 이해 못 하드라구.",anger
말만 들어도 너무 좋다. 과연 그런 날이 올 수 있을까?,sad
이미 누가 얘기했을 거 같긴 한데 혹시 모르니까 내가 내려가다 얘기해야지.,disgust
"모르겠어 일이 진도가 안 나가서 그런가?	",sad
이번에 확진자가 나온 강남역이야 정말 무서워.,fear
나 요새 허리가 너무 아파.,sad
해오던 일이 진행이 안되니까 진짜 의욕이 사라지는 것 같아.,sad
장례까지 생각할 경황이 없었어. 아빠가 곧 준비하시겠지.,sad
"이 상황에 밥이 너무 가겠니? 하루 종일 굶었는데 배도 안 고파.	",sad
그러면 좀 아이디어가 떠오를까?,sad
"난 잘하는게 없나 봐.	",sad
시간이 없기도 하고 갔는데 디스크라 그럴까봐 무서워서 못가겠어.,sad
해피가 어제 세상을 떠났어.,sad
"알겠어 나도 얼른 슬럼프가 지나갔으면 좋겠다.	",sad
나 결국 헤어졌어.,sad
"그치. 필요하면 치료 받아야 되긴 하는데, 디스크 치료도 엄청 아프다던데 나 너무 무섭다.",sad
나 내일 약속있는데 이거 그대로 가도 될까?,fear
우리 해피가 어제 세상을 떠났어.,sad
그 사람이 권태기가 왔다고 잠깐 시간을 갖자고 하더라고. 그런데 알고봤더니 다른 사람이 생긴 거였어.,sad
이 상태에서 스트레칭 잘못하면 진짜 허리 삐끗할 것 같은데!,sad
하필 강남이야 거기 확진자가 무더기로 나왔잖아!,fear
어제 저녁에 진짜 무서웠어! ,fear
누가 화장실에 토를 하고 안 치웠어!,disgust
쉬는 시간 없다니까. 오늘도 회사에서 밤 새야 할 것 같은데.,sad
나 어떻게 살지? 망했어!,sad
"이룰 수가 없는 약속이라서 근데 전염병 너무 무서워.	",fear
3년 전에 친구 소개로 만나게 되었어. 그러고 3년을 사귄 거지.,sad
덮어놓고 위로할 필요 없어. 팀장님 말씀 하나도 틀린 게 없었거든.,sad
시간이 지나면 잊혀지겠지만 지금은 너무 힘들다.,sad
"나 그 사람이랑 헤어졌어.	",sad
그저께 밤에 갑자기 의식을 잃더라고. 그러더니 어젯 밤에 끝내 눈을 감았어.,sad
어제 저녁에 진짜 무서웠어!,fear
"유기견 다큐멘터리를 봤는데, 책임감 없는 사람들 진짜 너무하더라.",disgust
으! 누가 화장실에 토하고 안 치웠어!,disgust
아침부터 토를 봤더니 속이 너무 안 좋아. 따뜻한 물은 마셔 보는 게 낫겠어.,disgust
우리 아빠 어제 또 다치셨어!,anger
3년 내내 한번을 싸운 적이 없었어. 정말 잘 맞았거든.,sad
"식당에서 친구랑 저녁 먹는데, 갑자기 지진이 나가지구. 난 다치진 않았는데 친구가 좀 다쳤어.",fear
걔를 키우는 사람이 많아졌는데 그만큼 유기견도 엄청 늘었다는 거야!,disgust
"정밀검진 받고 싶지 나도 빠르게 치료하고 싶어 하지만 정말 시간이 안 나.	",sad
우리 아빠가 어제 또 다치셨어.,anger
"15년은 키웠던 가족같은 아이가 갑자기 떠나잖아 그 상실감은 이루 말할 수가 없나 봐.	",sad
도착하자마자 연락을 해봤지. 전화를 안 받아. ,anger
그렇다니까. 책임도 못 지면서 키우는 사람들 때문에.,disgust
술 드시고 오시다가 계단에서 구르셨대.,anger
권태기라고 잠깐 시간을 갖자더니 나중에 알고봤더니 새로운 사람이 생긴 거였어.,sad
이 회사 들어올 때 너무 힘들게 들어왔어. 이런 걸로 그만두고 싶진 않아. 조금만 버텨볼게.,anger
"생명에는 지장 없으시고, 하지만 병원에 며칠 입원해 계셔야 된대.",anger
헤어진지 이제 두 달 다 돼가. 그런데 아직도 마음이 아파.,sad
아 나 퇴근한지 얼마나 됐다고 또 전화야!,anger
괜히 매일 무기력한 기분이 들어.,sad
약속 있을 때마다 항상 늦게 오더라고.,anger
유기견들은 늘어났는데 시설이 부족하니까 상황이 많이 열악하지.,disgust
나 어떻게 살지? 망했어.,sad
우웩! 화장실에 누가 토해놓고 치우지도 않고 그냥 가버렸어.,disgust
생명엔 지장이 없지만 병원에 며칠 입원해 계셔야 된대.,anger
괜히 매일 우울한 기분이 들어.,sad
모르겠어. 우울해서 그런지 프로젝트 진도도 안 나가고. 진도가 안 나가서 우울한 건지. 대체 뭐가 먼저인지 모르겠다.,sad
그렇지. 진짜 사이코패스들 아니냐?,disgust
시간이 지나면 잊혀지겠지? 하지만 지금은 믿기가 너무 힘들어!,sad
아! 우리 회사. 왜 맨날 나만 일하는 느낌이지?,anger
화장실을 누가 토 해 놓고 안 치웠어.,disgust
어. 최악이야. 진짜 끔찍하지?,disgust
"매일매일 우울한 기분이 들어.	",sad
그래. 보자마자 나 막 도망나왔어.,disgust
어제는 자꾸 생각나서 밥도 못 먹었어. 일단은 다른 층을 써 봐야 되겠지.,disgust
친구랑 약속 있어 나왔는데 친구가 오질 않고 있어!,anger
잘 모르겠어. 그냥 하루종일 멍때리고 있는 것 같아. 머릿속이 멍해.,sad
나 결국 헤어졌어.,sad
진짜 기절하는 줄 알았다니까! 대학교 기숙사도 아니고 무슨 일이야?,disgust
나 내일 약속 있는데 이거 그대로 나가도 될까?,fear
권태기가 왔다고 더 이상 만나지 말재.,sad
"아 생각만 해도 너무 더러워서 속이 미식거려 따뜻한 물 말고 찬물 마셔야겠다.	",disgust
우리 해피가 어제 세상을 떠났어.,sad
"아무것도 안 하는 시간은 나를 더 힘들게 하더라고 취미를 가져 볼게.	",sad
"다툰 적도 없고 성격도 정말 잘 맞았어.	",sad
"아, 얘기했다가 괜히 나로 오해받는 거 아니겠지? 아, 진짜 더러워 죽겠네!",disgust
이게 너무 오래된 선약이라서 미루기가 좀 그렇긴 한데 바꾸는 게 맞을까?,fear
저녁에 진짜 무서웠어.,fear
봄에 헤어졌으니까 두 달이나 넘었네.,sad
"퇴근한 지 얼마나 됐다고, 회사에서 또 연락이 왔어.",anger
갑자기 십오 년 동안 키운 아이가 갔으니 다들 황망하지.,sad
해피가 우리 곁을 떠난 지 얼마 안 돼서 아직까지 실감이 나지 않아. 해피를 생각하면 너무 슬퍼서 눈물이 나.,sad
그래! 이 바이러스가 변종이라서 아직 백신도 없잖아!,fear
왜 그러겠어. 계약직이니까 막말 한 거지.,anger
우리 아빠가 어제 또 다치셨어.,anger
나 요즘 매일매일 우울한 기분이 들어.,sad
알았어. 해피랑 산책하는 시간도 좀 가져볼게.,sad
나 면접 또 떨어졌어.,sad
"내가 유기견 다큐멘터리를 봤는데, 책임감 없는 사람들 진짜 너무하더라.",disgust
화장실 바닥이랑 세면대에 토를 해놓고 아무도 안치워서 아직도 그대로 있어 너무 더러워.,disgust
밤에 잠도 안오고 아침엔 너무 힘들게 일어나고. 회사에 가선 일도 손에 안잡혀.,sad
나 면접에서 또 떨어졌어.,sad
해피가 어제 세상을 떠났어.,sad
나 몰랐는데 개 키우는 사람들이 그렇게 많아졌다네? 근데 그만큼 유기견 수도 엄청 늘었다는 거야.,disgust
나 내일 약속 있는데 그대로 가도 될까?,fear
맞아. 무기력증이 온 것 같애. 정말 한동안 너무 바빴었거든. 바쁜 시기가 지나고 나니깐 내 몸이 예전 같지가 않아.,sad
룸메이트한테 청소 문제에 대해서 이야기 했더니 며칠동안은 방 청소를 했어. 그런데 다시 방을 어지럽히고 방 청소를 안 해. 너무 화가 나.,anger
그저께 밤부터 갑자기 시름시름 앓더라고. 그러더니 어제 끝내 눈을 감았어.,sad
"집에 있기 답답해서 잠깐 나왔어.	",sad
그렇대! 뭐 어디 아프거나 그런 것도 아니고 멀쩡한 개를 그렇게 버리는 사람들도 많아졌다더라!,disgust
"강남역이야 오늘 그곳에서 확진자 나왔대.	",fear
해피가 어제 세상을 떠났어.,sad
15년을 키워왔으니 가족들 마음이 어떻겠어. 다들 상실감에 젖어있어.,sad
나 면접 또 떨어졌어.,sad
"나 진짜 어떻게 사냐 완전 망했다.	",sad
다 엄연히 한 생명인데 어떻게 그럴 수 있는지 모르겠어.,disgust
그저께 밤에 갑자기 의식을 잃더라고. 그러더니 어젯밤에 끝내 눈을 감았어.,sad
시간이 지나면 잊혀지겠지만 지금은 너무 가슴이 찢어지는 것 같애.,sad
면접은 어렵진 않았거든. 하지만 내가 많이 떨었던 것 같아.,sad
돈이 하나도 없어! 2주나 기다려야 돼!,sad
누가 기숙사 화장실에 토해놓고 도망갔어!,disgust
스트레스 받으니깐 아침부터 입맛이 없어. 이따가 저녁이나 좀 부모님과 같이 먹어야지.,sad
올해는 이제 없어서 내년부터 다시 준비해야지.,sad
갑작스러운 죽음에 다들 슬퍼하고 있어.,sad
맞아. 좋은 곳으로 갔을 거야. 정말 우리한테 행복을 주고 떠났거든.,sad
"난 잘하는게 하나도 없나 봐.	",sad
난 정말 잘하는게 없나봐.,sad
어제 정말 무서웠어.,fear
시간이 지나면 잊혀지겠지만 지금은 너무 힘들다.,sad
밤 새워 준비한 기획안을 또 퇴짜 맞았잖아.,sad
지진은 사라졌지만 놀란 가슴은 아직도 뛰고있어.,fear
알아. 정말 착하고 예쁜 아이였어. 분명히 좋은 곳으로 갔을 거야.,sad
선배가 커피 사준다 해서 잠깐 마시고 왔어.,sad
룸메이트와 너무 자주 싸우고 있어.,anger
"이번에 준비하는 기획안만 마무리 잘 하고 좀 쉬려고.	",sad
"나 결국 헤어졌어.	",sad
우리 아빠가 어제 또 다치셨어.,anger
해피가 어제 세상을 떠났어. ,sad
바쁘다는 핑계로 나한테 너무 일을 몰아주고 있어.,anger
"잠깐 시간을 갖자고 하더라고 그러더니 헤어지자고 통보가 왔어.	",sad
이 회사 들어올 때 정말 힘들게 들어왔잖아. 조금만 더 버텨보고.,anger
생명에는 지장 없고 병원에 입원해서 며칠 치료 받으면 괜찮아지실 거래.,anger
나 결국 헤어졌어.,sad
다들 바빠서 남의 일에 신경쓸 새도 없어.,anger
응. 방금 가봤더니 그대로 있어! 아무도 치우지도 않고 있어.,disgust
